source_url,data_identifier,version,accessed_utc,acquisition_conditions,saved_path,file_size_bytes,sha256,license_or_terms,completeness,repository_distribution
https://api.crossref.org/works/10.1007/s00190-016-0970-1,Coordinate-invariant network-model Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_chatzinikos_dermanis_2017_2026-09-25.json,14508,402ee8077482fe9993bfeb5591c70ee66e56f1390cc3b3e12a5676ff799eadfd,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1007/s00190-015-0842-0,GNSS-SLR minimum-constraints Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_glaser_2015_2026-09-25.json,23571,23556c5f39385f5c2e62939ab03c39829aa2e0539893f77e7f6e4dfe33508d70,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1007/s00190-012-0555-6,Minimum-constrained stability Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_kotsakis_2012_2026-09-25.json,14332,c90f003b627da42bff7e07691389e7da30fefb6c53e2eaa3aeb2d9e1abb68ce5,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1007/s00190-013-0637-0,Generalized-inner-constraints Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_kotsakis_2013_2026-09-25.json,8335,53cd8abf30cbcb38776b627b9ea93e784b93f1943313006cbbed7466aec844c0,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1007/s00190-016-0989-3,Rank-defect Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_kotsakis_chatzinikos_2017_2026-09-25.json,13114,241ecc63d72cf53660960fe9385cc0b059833d63592e6e435c6c767fd7154ec4,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1007/BF02521070,Extended-free-net-constraints Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_papo_1985_2026-09-25.json,5275,508bacc8e50b0e0d7efe6e52e7f6e5ee91d09c5ce18f673a6e7f37aa597cc7b8,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1007/s001900100166,TRF datum-constraints Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_sillard_boucher_2001_2026-09-25.json,2486,4dee6743d63454b1069f21b874ad4149b9dd3b17424c2e9dc49291857193605d,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1007/s00190-019-01307-0,SLR network-constraining Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_sosnica_2019_2026-09-25.json,32019,471fbdb41b597a4065b4dabb6558102cc2a7334e839ea1cc00b8dc16738e6d5f,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1017/S001675681700098X,Paleogeographic integration Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:30:00Z,HTTPS API response,data/raw/literature/crossref_torsvik_cocks_2026-09-25.json,10344,7c70f6d44ab367d65f4cb2c202f6586c4f73b62f1d31dc56bb137a25457bd12e,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.2307/1998867,Graph-rigidity Crossref record,Crossref snapshot 2026-09-25,2026-09-25T02:57:35Z,HTTPS API response,data/raw/literature/crossref_asimow_roth_1978_2026-09-25.json,27714,1f3a0c0dd6e3f538dda4a89f54f730d97b2ee3aae1aea754ea0510ee48cbca3b,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1016/0022-247X(79)90108-2,Graph-rigidity-II Crossref record,Crossref snapshot 2026-09-25,2026-09-25T02:57:35Z,HTTPS API response,data/raw/literature/crossref_asimow_roth_1979_2026-09-25.json,4613,a369c553f81c96631f1a126c9876eb466d7a7bb3514fee477dcfedd82dc1630b,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1109/MSP.2015.2398954,Euclidean-distance-matrices Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:42:54Z,HTTPS API response,data/raw/literature/crossref_dokmanic_2015_2026-09-25.json,8875,92755325c2c21a9d9a0a32203b90a736c87b0eeead5031d1d9275a65eaa44d26,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1107/S0567739476001873,Kabsch-rotation-1976 Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:42:54Z,HTTPS API response,data/raw/literature/crossref_kabsch_1976_2026-09-25.json,2506,401f678f1fde5c7bac91ce79db4aa48c4adff82aa96a8f0a469c97a5d52ec891,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1107/S0567739478001680,Kabsch-rotation-1978 Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:42:54Z,HTTPS API response,data/raw/literature/crossref_kabsch_1978_2026-09-25.json,2523,0fc263581797f0cb8715452e7956358c3392c8ec86f2a1269ea6829fa0ccda56,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1137/120875909,Euclidean-distance-geometry Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:42:54Z,HTTPS API response,data/raw/literature/crossref_liberti_2014_2026-09-25.json,29558,f3ff9282485d7bfe77902a3d9e716c727826ed3c376ce976f5e03f411a14c838,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1007/s001900050278,GRS80 Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:42:54Z,HTTPS API response,data/raw/literature/crossref_moritz_2000_2026-09-25.json,2347,2ca299512c09053e5f1d060584af7032283bccbe2014f15c9802411dfecbb0d1,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1029/2007RG000227,Global-plate-motion-frames Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:42:54Z,HTTPS API response,data/raw/literature/crossref_torsvik_2008_2026-09-25.json,19591,073ff7c8d02e1ace08db215493a89f1aed0cfde06284e28d25598e4c442a8c3b,Crossref REST API terms,complete work record,local metadata snapshot
https://api.crossref.org/works/10.1016/j.earscirev.2012.06.007,Phanerozoic-palaeogeography Crossref record,Crossref snapshot 2026-09-25,2026-09-25T03:42:54Z,HTTPS API response,data/raw/literature/crossref_torsvik_2012_2026-09-25.json,87193,ddb9e07162258842595b9b4f93debd2b92e27fcbd34b5227aa4d21b5136eb67c,Crossref REST API terms,complete work record,local metadata snapshot
https://group.springernature.com/us/group/ai/ai-guidance-for-researchers-editors-reviewers,Springer Nature AI guidance for researchers editors and reviewers,accessed 2026-09-25,2026-09-25T03:45:00Z,HTTPS page snapshot,data/raw/journal/springer-nature-ai-guidance_2026-09-25.html,96519,285dc739a41e6812f4a49aa449da0326a75dba792fdb2468a042af86bb173239,Springer Nature website terms,complete HTML response,local snapshot only
https://iers-conventions.obspm.fr/content/tn36.pdf,IERS Conventions 2010 Technical Note 36,2010 edition,2026-09-25T03:49:00Z,HTTPS direct download,data/raw/literature/iers_conventions_2010_tn36_2026-09-25.pdf,2983786,fdb5b74c5a6135c9d20fd99191741e8b62ac8d712eb96f046e7eeb8fb4236f51,Official IERS publication terms,complete PDF,local snapshot only
